Speaker,Play,Sex,Lines
WARWICK,The Life of King Henry the Fifth,Male,1
WESTMORLAND,The Life of King Henry the Fifth,Male,27
WILLIAMS,The Life of King Henry the Fifth,Male,70
YORK,The Life of King Henry the Fifth,Male,2
ALCIBIADES,THE LIFE OF TIMON OF ATHENS,Male,159
ALL,THE LIFE OF TIMON OF ATHENS,Male,1
ALL LADIES,THE LIFE OF TIMON OF ATHENS,Female,1
ALL LORDS,THE LIFE OF TIMON OF ATHENS,Male,1
ALL SERVANTS,THE LIFE OF TIMON OF ATHENS,Male,8
ALL THE BANDITS,THE LIFE OF TIMON OF ATHENS,Male,3
APEMANTUS,THE LIFE OF TIMON OF ATHENS,Male,249
BOTH,THE LIFE OF TIMON OF ATHENS,Male,1
BOTH SENATORS,THE LIFE OF TIMON OF ATHENS,Male,1
CAPHIS,THE LIFE OF TIMON OF ATHENS,Male,20
CUPID,THE LIFE OF TIMON OF ATHENS,Male,6
FIRST BANDIT,THE LIFE OF TIMON OF ATHENS,Male,11
FIRST LADY,THE LIFE OF TIMON OF ATHENS,Female,1
FIRST LORD,THE LIFE OF TIMON OF ATHENS,Male,21
FIRST SENATOR,THE LIFE OF TIMON OF ATHENS,Male,89
FIRST SERVANT,THE LIFE OF TIMON OF ATHENS,Male,8
FIRST STRANGER,THE LIFE OF TIMON OF ATHENS,Male,31
FIRST VARRO'S SERVANT,THE LIFE OF TIMON OF ATHENS,Male,8
FLAMINIUS,THE LIFE OF TIMON OF ATHENS,Male,29
FLAVIUS,THE LIFE OF TIMON OF ATHENS,Male,205
FOOL,THE LIFE OF TIMON OF ATHENS,Male,22
FOURTH LORD,THE LIFE OF TIMON OF ATHENS,Male,1
HORTENSIUS,THE LIFE OF TIMON OF ATHENS,Male,11
ISIDORE'S SERVANT,THE LIFE OF TIMON OF ATHENS,Male,8
JEWELLER,THE LIFE OF TIMON OF ATHENS,Male,12
LUCILIUS,THE LIFE OF TIMON OF ATHENS,Male,5
LUCIUS,THE LIFE OF TIMON OF ATHENS,Male,66
LUCIUS'S SERVANT,THE LIFE OF TIMON OF ATHENS,Male,32
LUCULLUS,THE LIFE OF TIMON OF ATHENS,Male,59
LUCULLUS and LUCIUS,THE LIFE OF TIMON OF ATHENS,Male,1
MERCHANT,THE LIFE OF TIMON OF ATHENS,Male,11
MESSENGER,THE LIFE OF TIMON OF ATHENS,Male,20
OLD ATHENIAN,THE LIFE OF TIMON OF ATHENS,Male,29
OTHERS,THE LIFE OF TIMON OF ATHENS,Male,1
PAGE,THE LIFE OF TIMON OF ATHENS,Male,7
PAINTER,THE LIFE OF TIMON OF ATHENS,Male,65
PHILOTUS,THE LIFE OF TIMON OF ATHENS,Male,6
PHRYNIA,THE LIFE OF TIMON OF ATHENS,Female,1
PHRYNIA and TIMANDRA,THE LIFE OF TIMON OF ATHENS,Female,4
POET,THE LIFE OF TIMON OF ATHENS,Male,104
POET and PAINTER,THE LIFE OF TIMON OF ATHENS,Male,7
SECOND BANDIT,THE LIFE OF TIMON OF ATHENS,Male,6
SECOND LORD,THE LIFE OF TIMON OF ATHENS,Male,17
SECOND SENATOR,THE LIFE OF TIMON OF ATHENS,Male,61
SECOND SERVANT,THE LIFE OF TIMON OF ATHENS,Male,11
SECOND STRANGER,THE LIFE OF TIMON OF ATHENS,Male,7
SECOND VARRO'S SERVANT,THE LIFE OF TIMON OF ATHENS,Male,6
SEMPRONIUS,THE LIFE OF TIMON OF ATHENS,Male,36
SENATOR,THE LIFE OF TIMON OF ATHENS,Male,35
SERVANT,THE LIFE OF TIMON OF ATHENS,Male,27
SERVANTS,THE LIFE OF TIMON OF ATHENS,Male,1
SERVILIUS,THE LIFE OF TIMON OF ATHENS,Male,18
SOLDIER,THE LIFE OF TIMON OF ATHENS,Male,15
SOME OTHER,THE LIFE OF TIMON OF ATHENS,Male,1
THIRD BANDIT,THE LIFE OF TIMON OF ATHENS,Male,7
THIRD LORD,THE LIFE OF TIMON OF ATHENS,Male,4
THIRD SENATOR,THE LIFE OF TIMON OF ATHENS,Male,4
THIRD SERVANT,THE LIFE OF TIMON OF ATHENS,Male,10
THIRD STRANGER,THE LIFE OF TIMON OF ATHENS,Male,1
TIMANDRA,THE LIFE OF TIMON OF ATHENS,Female,4
TIMON,THE LIFE OF TIMON OF ATHENS,Male,850
TITUS,THE LIFE OF TIMON OF ATHENS,Male,15
VARRO'S SERVANT,THE LIFE OF TIMON OF ATHENS,Male,11
VENTIDIUS,THE LIFE OF TIMON OF ATHENS,Male,11
ALL,THE MERCHANT OF VENICE,Male,1
ANTONIO,THE MERCHANT OF VENICE,Male,188
ARRAGON,THE MERCHANT OF VENICE,Male,66
BALTHASAR,THE MERCHANT OF VENICE,Male,1
BASSANIO,THE MERCHANT OF VENICE,Male,336
CLERK,THE MERCHANT OF VENICE,Male,14
DUKE OF VENICE,THE MERCHANT OF VENICE,Male,57
GOBBO,THE MERCHANT OF VENICE,Male,38
GRATIANO,THE MERCHANT OF VENICE,Male,177
JESSICA,THE MERCHANT OF VENICE,Female,86
LAUNCELOT,THE MERCHANT OF VENICE,Male,163
LEONARDO,THE MERCHANT OF VENICE,Male,2
LORENZO,THE MERCHANT OF VENICE,Male,180
MAN,THE MERCHANT OF VENICE,Male,2
MESSENGER,THE MERCHANT OF VENICE,Male,11
NERISSA,THE MERCHANT OF VENICE,Female,88
PORTIA,THE MERCHANT OF VENICE,Female,574
PRINCE OF MOROCCO,THE MERCHANT OF VENICE,Male,103
SALERIO,THE MERCHANT OF VENICE,Male,115
SERVINGMAN,THE MERCHANT OF VENICE,Male,4
SHYLOCK,THE MERCHANT OF VENICE,Male,352
SINGER,THE MERCHANT OF VENICE,Male,9
SOLANIO,THE MERCHANT OF VENICE,Male,70
STEPHANO,THE MERCHANT OF VENICE,Male,8
TUBAL,THE MERCHANT OF VENICE,Male,15
ALL,THE MERRY WIVES OF WINDSOR,Male,2
ANNE,THE MERRY WIVES OF WINDSOR,Female,28
BARDOLPH,THE MERRY WIVES OF WINDSOR,Male,25
CAIUS,THE MERRY WIVES OF WINDSOR,Male,97
EVANS,THE MERRY WIVES OF WINDSOR,Male,217
EVANS as a Satyr,THE MERRY WIVES OF WINDSOR,Male,11
FALSTAFF,THE MERRY WIVES OF WINDSOR,Male,438
FENTON,THE MERRY WIVES OF WINDSOR,Male,96
FORD,THE MERRY WIVES OF WINDSOR,Male,300
HOST,THE MERRY WIVES OF WINDSOR,Male,110
JOHN,THE MERRY WIVES OF WINDSOR,Male,2
JOHN and ROBERT,THE MERRY WIVES OF WINDSOR,Male,1
MISTRESS FORD,THE MERRY WIVES OF WINDSOR,Female,192
MISTRESS FORD and MISTRESS PAGE,THE MERRY WIVES OF WINDSOR,Female,1
MISTRESS PAGE,THE MERRY WIVES OF WINDSOR,Female,328
MISTRESS QUICKLY,THE MERRY WIVES OF WINDSOR,Female,236
MISTRESS QUICKLY as Queen of Fairies,THE MERRY WIVES OF WINDSOR,Female,44
NYM,THE MERRY WIVES OF WINDSOR,Male,29
PAGE,THE MERRY WIVES OF WINDSOR,Male,149
"PAGE, SHALLOW, and SLENDER",THE MERRY WIVES OF WINDSOR,Male,2
PISTOL,THE MERRY WIVES OF WINDSOR,Male,51
PISTOL as Hobgoblin,THE MERRY WIVES OF WINDSOR,Male,7
ROBERT,THE MERRY WIVES OF WINDSOR,Male,1
ROBIN,THE MERRY WIVES OF WINDSOR,Male,13
RUGBY,THE MERRY WIVES OF WINDSOR,Male,11
SHALLOW,THE MERRY WIVES OF WINDSOR,Male,125
SIMPLE,THE MERRY WIVES OF WINDSOR,Male,49
SLENDER,THE MERRY WIVES OF WINDSOR,Male,143
WILLIAM,THE MERRY WIVES OF WINDSOR,Male,12
ARCHBISHOP,Second Part of King Henry IV,Male,148
BARDOLPH,Second Part of King Henry IV,Male,47
BULLCALF,Second Part of King Henry IV,Male,13
CLARENCE,Second Part of King Henry IV,Male,21
COLEVILE,Second Part of King Henry IV,Male,9
DAVY,Second Part of King Henry IV,Male,33
DOLL,Second Part of King Henry IV,Female,78
DRAWER,Second Part of King Henry IV,Male,11
FALSTAFF,Second Part of King Henry IV,Male,641
FANG,Second Part of King Henry IV,Male,8
FEEBLE,Second Part of King Henry IV,Male,11
FIRST BEADLE,Second Part of King Henry IV,Male,10
FIRST GROOM,Second Part of King Henry IV,Male,1
FRANCIS,Second Part of King Henry IV,Male,8
GLOUCESTER,Second Part of King Henry IV,Male,15
GLOUCESTER and CLARENCE,Second Part of King Henry IV,Male,1
GOWER,Second Part of King Henry IV,Male,8
HARCOURT,Second Part of King Henry IV,Male,8
HASTINGS,Second Part of King Henry IV,Male,57
HOSTESS,Second Part of King Henry IV,Female,171
KING HENRY IV,Second Part of King Henry IV,Male,291
LADY NORTHUMBERLAND,Second Part of King Henry IV,Female,5
LADY PERCY,Second Part of King Henry IV,Female,46
LORD BARDOLPH,Second Part of King Henry IV,Male,87
LORD CHIEF JUSTICE,Second Part of King Henry IV,Male,160
MESSENGER,Second Part of King Henry IV,Male,4
MORTON,Second Part of King Henry IV,Male,79
MOULDY,Second Part of King Henry IV,Male,12
MOWBRAY,Second Part of King Henry IV,Male,56
NORTHUMBERLAND,Second Part of King Henry IV,Male,106
PAGE,Second Part of King Henry IV,Male,31
PETO,Second Part of King Henry IV,Male,6
PISTOL,Second Part of King Henry IV,Male,80
POINS,Second Part of King Henry IV,Male,60
PORTER,Second Part of King Henry IV,Male,4
PRINCE HENRY,Second Part of King Henry IV,Male,313
PRINCE JOHN,Second Part of King Henry IV,Male,108
PRINCES,Second Part of King Henry IV,Male,1
RUMOUR,Second Part of King Henry IV,Male,40
SECOND GROOM,Second Part of King Henry IV,Male,1
SERVANT,Second Part of King Henry IV,Male,12
SHADOW,Second Part of King Henry IV,Male,5
SHALLOW,Second Part of King Henry IV,Male,195
SILENCE,Second Part of King Henry IV,Male,45
SNARE,Second Part of King Henry IV,Male,3
THIRD GROOM,Second Part of King Henry IV,Male,2
TRAVERS,Second Part of King Henry IV,Male,15
WART,Second Part of King Henry IV,Male,2
WARWICK,Second Part of King Henry IV,Male,77
WESTMORLAND,Second Part of King Henry IV,Male,109
WILL,Second Part of King Henry IV,Male,4
ALL,The Second Part of King Henry the Sixth,Male,13
ALL PETITIONERS,The Second Part of King Henry the Sixth,Male,1
BEADLE,The Second Part of King Henry the Sixth,Male,2
BEVIS,The Second Part of King Henry the Sixth,Male,17
BOLINGBROKE,The Second Part of King Henry the Sixth,Male,21
BROTHER,The Second Part of King Henry the Sixth,Male,7
BUCKINGHAM,The Second Part of King Henry the Sixth,Male,74
CADE,The Second Part of King Henry the Sixth,Male,238
CARDINAL,The Second Part of King Henry the Sixth,Male,103
CLERK,The Second Part of King Henry the Sixth,Male,3
CLIFFORD,The Second Part of King Henry the Sixth,Male,56
COMMONS,The Second Part of King Henry the Sixth,Male,2
DICK,The Second Part of King Henry the Sixth,Male,36
DUCHESS,The Second Part of King Henry the Sixth,Female,119
EDWARD,The Second Part of King Henry the Sixth,Male,1
FIRST CITIZEN,The Second Part of King Henry the Sixth,Male,4
FIRST GENTLEMAN,The Second Part of King Henry the Sixth,Male,7
FIRST MESSENGER,The Second Part of King Henry the Sixth,Male,11
FIRST MURDERER,The Second Part of King Henry the Sixth,Male,5
FIRST NEIGHBOUR,The Second Part of King Henry the Sixth,Male,3
FIRST PETITIONER,The Second Part of King Henry the Sixth,Male,8
FIRST PRENTICE,The Second Part of King Henry the Sixth,Male,2
GLOUCESTER,The Second Part of King Henry the Sixth,Male,303
HERALD,The Second Part of King Henry the Sixth,Male,2
HORNER,The Second Part of King Henry the Sixth,Male,19
HUME,The Second Part of King Henry the Sixth,Male,31
IDEN,The Second Part of King Henry the Sixth,Male,51
JOHN,The Second Part of King Henry the Sixth,Male,18
KING HENRY,The Second Part of King Henry the Sixth,Male,314
LIEUTENANT,The Second Part of King Henry the Sixth,Male,65
MAN,The Second Part of King Henry the Sixth,Male,4
MARGERY JOURDAIN,The Second Part of King Henry the Sixth,Female,4
MASTER,The Second Part of King Henry the Sixth,Male,1
MATE,The Second Part of King Henry the Sixth,Male,1
MAYOR,The Second Part of King Henry the Sixth,Male,2
MESSENGER,The Second Part of King Henry the Sixth,Male,15
MICHAEL,The Second Part of King Henry the Sixth,Male,4
PETER,The Second Part of King Henry the Sixth,Male,25
POST,The Second Part of King Henry the Sixth,Male,6
QUEEN,The Second Part of King Henry the Sixth,Female,316
RICHARD,The Second Part of King Henry the Sixth,Male,24
SALISBURY,The Second Part of King Henry the Sixth,Male,94
SAY,The Second Part of King Henry the Sixth,Male,48
SCALES,The Second Part of King Henry the Sixth,Male,8
SECOND GENTLEMAN,The Second Part of King Henry the Sixth,Male,1
SECOND MESSENGER,The Second Part of King Henry the Sixth,Male,5
SECOND MURDERER,The Second Part of King Henry the Sixth,Male,2
SECOND NEIGHBOUR,The Second Part of King Henry the Sixth,Male,2
SECOND PETITIONER,The Second Part of King Henry the Sixth,Male,6
SECOND PRENTICE,The Second Part of King Henry the Sixth,Male,2
SERVANT,The Second Part of King Henry the Sixth,Male,2
SHERIFF,The Second Part of King Henry the Sixth,Male,4
SIMPCOX,The Second Part of King Henry the Sixth,Male,25
SMITH,The Second Part of King Henry the Sixth,Male,16
SOLDIER,The Second Part of King Henry the Sixth,Male,1
SOMERSET,The Second Part of King Henry the Sixth,Male,25
SPIRIT,The Second Part of King Henry the Sixth,Male,9
STANLEY,The Second Part of King Henry the Sixth,Male,7
SUFFOLK,The Second Part of King Henry the Sixth,Male,298
THIRD NEIGHBOUR,The Second Part of King Henry the Sixth,Male,2
VAUX,The Second Part of King Henry the Sixth,Male,11
WARWICK,The Second Part of King Henry the Sixth,Male,131
WARWICK and SALISBURY,The Second Part of King Henry the Sixth,Male,1
WHITMORE,The Second Part of King Henry the Sixth,Male,18
WIFE,The Second Part of King Henry the Sixth,Female,8
WILLIAM STAFFORD,The Second Part of King Henry the Sixth,Male,16
YORK,The Second Part of King Henry the Sixth,Male,379
YOUNG CLIFFORD,The Second Part of King Henry the Sixth,Male,46
ALL SERVANTS,THE TAMING OF THE SHREW,Male,1
ALL SERVINGMEN,THE TAMING OF THE SHREW,Male,1
BAPTISTA,THE TAMING OF THE SHREW,Male,174
BIANCA,THE TAMING OF THE SHREW,Female,69
BIONDELLO,THE TAMING OF THE SHREW,Male,106
CURTIS,THE TAMING OF THE SHREW,Male,28
FIRST HUNTSMAN,THE TAMING OF THE SHREW,Male,9
FIRST PLAYER,THE TAMING OF THE SHREW,Male,4
FIRST SERVINGMAN,THE TAMING OF THE SHREW,Male,15
FIRST SERVINGMAN OF PETRUCHIO,THE TAMING OF THE SHREW,Male,1
GREMIO,THE TAMING OF THE SHREW,Male,167
GREMIO and TRANIO,THE TAMING OF THE SHREW,Male,1
GRUMIO,THE TAMING OF THE SHREW,Male,168
GRUMIO and BIONDELLO,THE TAMING OF THE SHREW,Male,1
HABERDASHER,THE TAMING OF THE SHREW,Male,1
HORTENSIO,THE TAMING OF THE SHREW,Male,208
HOSTESS,THE TAMING OF THE SHREW,Female,4
JOSEPH,THE TAMING OF THE SHREW,Male,1
KATHERINA,THE TAMING OF THE SHREW,Female,221
LORD,THE TAMING OF THE SHREW,Male,146
LUCENTIO,THE TAMING OF THE SHREW,Male,189
NATHANIEL,THE TAMING OF THE SHREW,Male,4
NICHOLAS,THE TAMING OF THE SHREW,Male,1
PAGE,THE TAMING OF THE SHREW,Male,16
PEDANT,THE TAMING OF THE SHREW,Male,51
PETER,THE TAMING OF THE SHREW,Male,2
PETRUCHIO,THE TAMING OF THE SHREW,Male,589
PHILIP,THE TAMING OF THE SHREW,Male,1
PLAYERS,THE TAMING OF THE SHREW,Male,1
SECOND HUNTSMAN,THE TAMING OF THE SHREW,Male,3
SECOND SERVINGMAN,THE TAMING OF THE SHREW,Male,12
SERVANT,THE TAMING OF THE SHREW,Male,3
SERVINGMAN,THE TAMING OF THE SHREW,Male,1
SLY,THE TAMING OF THE SHREW,Male,61
TAILOR,THE TAMING OF THE SHREW,Male,16
THIRD SERVANT,THE TAMING OF THE SHREW,Male,12
TRANIO,THE TAMING OF THE SHREW,Male,291
VINCENTIO,THE TAMING OF THE SHREW,Male,48
WIDOW,THE TAMING OF THE SHREW,Female,11
ADRIAN,THE TEMPEST,Male,12
ALONSO,THE TEMPEST,Male,109
ANTONIO,THE TEMPEST,Male,151
ARIEL,THE TEMPEST,Male,196
BOATSWAIN,THE TEMPEST,Male,46
CALIBAN,THE TEMPEST,Male,178
CERES,THE TEMPEST,Female,24
FERDINAND,THE TEMPEST,Male,139
FERDINAND and MIRANDA,THE TEMPEST,Male,1
FRANCISCO,THE TEMPEST,Male,11
GONZALO,THE TEMPEST,Male,161
IRIS,THE TEMPEST,Female,41
JUNO,THE TEMPEST,Female,7
MARINERS,THE TEMPEST,Male,1
MASTER,THE TEMPEST,Male,3
MIRANDA,THE TEMPEST,Female,153
PROSPERO,THE TEMPEST,Male,656
SEBASTIAN,THE TEMPEST,Male,125
STEPHANO,THE TEMPEST,Male,168
TRINCULO,THE TEMPEST,Male,102
ALL,THE THIRD PART OF KING HENRY THE SIXTH,Male,1
BONA,THE THIRD PART OF KING HENRY THE SIXTH,Female,9
CLARENCE,THE THIRD PART OF KING HENRY THE SIXTH,Male,105
CLIFFORD,THE THIRD PART OF KING HENRY THE SIXTH,Male,140
EDWARD,THE THIRD PART OF KING HENRY THE SIXTH,Male,428
EXETER,THE THIRD PART OF KING HENRY THE SIXTH,Male,17
FATHER,THE THIRD PART OF KING HENRY THE SIXTH,Male,27
FIRST KEEPER,THE THIRD PART OF KING HENRY THE SIXTH,Male,17
FIRST MESSENGER,THE THIRD PART OF KING HENRY THE SIXTH,Male,1
FIRST WATCHMAN,THE THIRD PART OF KING HENRY THE SIXTH,Male,8
HASTINGS,THE THIRD PART OF KING HENRY THE SIXTH,Male,20
HUNTSMAN,THE THIRD PART OF KING HENRY THE SIXTH,Male,2
KING,THE THIRD PART OF KING HENRY THE SIXTH,Male,363
LADY GREY,THE THIRD PART OF KING HENRY THE SIXTH,Female,73
LEWIS,THE THIRD PART OF KING HENRY THE SIXTH,Male,67
LIEUTENANT,THE THIRD PART OF KING HENRY THE SIXTH,Male,3
MAYOR,THE THIRD PART OF KING HENRY THE SIXTH,Male,5
MESSENGER,THE THIRD PART OF KING HENRY THE SIXTH,Male,36
MONTAGUE,THE THIRD PART OF KING HENRY THE SIXTH,Male,15
MONTGOMERY,THE THIRD PART OF KING HENRY THE SIXTH,Male,14
NOBLEMAN,THE THIRD PART OF KING HENRY THE SIXTH,Male,2
NORFOLK,THE THIRD PART OF KING HENRY THE SIXTH,Male,3
NORTHUMBERLAND,THE THIRD PART OF KING HENRY THE SIXTH,Male,30
OXFORD,THE THIRD PART OF KING HENRY THE SIXTH,Male,35
POST,THE THIRD PART OF KING HENRY THE SIXTH,Male,29
PRINCE OF WALES,THE THIRD PART OF KING HENRY THE SIXTH,Male,46
QUEEN ELIZABETH,THE THIRD PART OF KING HENRY THE SIXTH,Female,37
QUEEN MARGARET,THE THIRD PART OF KING HENRY THE SIXTH,Female,279
RICHARD,THE THIRD PART OF KING HENRY THE SIXTH,Male,390
RIVERS,THE THIRD PART OF KING HENRY THE SIXTH,Male,7
RUTLAND,THE THIRD PART OF KING HENRY THE SIXTH,Male,24
SECOND KEEPER,THE THIRD PART OF KING HENRY THE SIXTH,Male,14
SECOND MESSENGER,THE THIRD PART OF KING HENRY THE SIXTH,Male,1
SECOND WATCHMAN,THE THIRD PART OF KING HENRY THE SIXTH,Male,7
SIR JOHN,THE THIRD PART OF KING HENRY THE SIXTH,Male,1
SOLDIER,THE THIRD PART OF KING HENRY THE SIXTH,Male,2
SOMERSET,THE THIRD PART OF KING HENRY THE SIXTH,Male,33
SOMERVILLE,THE THIRD PART OF KING HENRY THE SIXTH,Male,5
SON,THE THIRD PART OF KING HENRY THE SIXTH,Male,22
THIRD WATCHMAN,THE THIRD PART OF KING HENRY THE SIXTH,Male,9
TUTOR,THE THIRD PART OF KING HENRY THE SIXTH,Male,3
WARWICK,THE THIRD PART OF KING HENRY THE SIXTH,Male,435
WESTMORLAND,THE THIRD PART OF KING HENRY THE SIXTH,Male,11
YORK,THE THIRD PART OF KING HENRY THE SIXTH,Male,173
AGRIPPA,The Tragedy of Antony and Cleopatra,Male,60
ALEXAS,The Tragedy of Antony and Cleopatra,Male,32
ALL,The Tragedy of Antony and Cleopatra,Male,4
ALL ATTENDANTS,The Tragedy of Antony and Cleopatra,Male,1
ALL CAESAR'S ATTENDANTS,The Tragedy of Antony and Cleopatra,Male,1
ALL LORDS,The Tragedy of Antony and Cleopatra,Male,1
ALL SOLDIERS,The Tragedy of Antony and Cleopatra,Male,2
ALL THE GUARDS,The Tragedy of Antony and Cleopatra,Male,3
ALL THE SERVANTS,The Tragedy of Antony and Cleopatra,Male,1
ALL THE SOLDIERS,The Tragedy of Antony and Cleopatra,Male,1
ALL THE TRIUMVIRS,The Tragedy of Antony and Cleopatra,Male,1
AMBASSADOR,The Tragedy of Antony and Cleopatra,Male,16
ANTONY,The Tragedy of Antony and Cleopatra,Male,839
BOY,The Tragedy of Antony and Cleopatra,Male,6
CAESAR,The Tragedy of Antony and Cleopatra,Male,419
CANIDIUS,The Tragedy of Antony and Cleopatra,Male,25
CAPTAIN,The Tragedy of Antony and Cleopatra,Male,1
CHARMIAN,The Tragedy of Antony and Cleopatra,Female,109
CLEOPATRA,The Tragedy of Antony and Cleopatra,Female,678
CLOWN,The Tragedy of Antony and Cleopatra,Male,27
DECRETAS,The Tragedy of Antony and Cleopatra,Male,21
DEMETRIUS,The Tragedy of Antony and Cleopatra,Male,5
DIOMEDES,The Tragedy of Antony and Cleopatra,Male,19
DOLABELLA,The Tragedy of Antony and Cleopatra,Male,47
EGYPTIAN,The Tragedy of Antony and Cleopatra,Male,6
ENOBARBUS,The Tragedy of Antony and Cleopatra,Male,346
EROS,The Tragedy of Antony and Cleopatra,Male,47
FIRST ATTENDANT,The Tragedy of Antony and Cleopatra,Male,1
FIRST GUARD,The Tragedy of Antony and Cleopatra,Male,5
FIRST GUARD OF CAESAR'S,The Tragedy of Antony and Cleopatra,Male,14
FIRST SERVANT,The Tragedy of Antony and Cleopatra,Male,9
FIRST SOLDIER,The Tragedy of Antony and Cleopatra,Male,14
FIRST WATCH,The Tragedy of Antony and Cleopatra,Male,6
FOURTH SOLDIER,The Tragedy of Antony and Cleopatra,Male,1
GALLUS,The Tragedy of Antony and Cleopatra,Male,2
GUARDSMAN,The Tragedy of Antony and Cleopatra,Male,4
IRAS,The Tragedy of Antony and Cleopatra,Female,26
LEPIDUS,The Tragedy of Antony and Cleopatra,Male,67
MAECENAS,The Tragedy of Antony and Cleopatra,Male,36
MAECENAS and AGRIPPA,The Tragedy of Antony and Cleopatra,Male,1
MARDIAN,The Tragedy of Antony and Cleopatra,Male,19
MENAS,The Tragedy of Antony and Cleopatra,Male,62
MENECRATES,The Tragedy of Antony and Cleopatra,Male,6
MESSENGER,The Tragedy of Antony and Cleopatra,Male,20
MESSENGER TO CAESAR,The Tragedy of Antony and Cleopatra,Male,18
MESSENGER TO CLEOPATRA,The Tragedy of Antony and Cleopatra,Male,42
OCTAVIA,The Tragedy of Antony and Cleopatra,Female,36
PHILO,The Tragedy of Antony and Cleopatra,Male,17
POMPEY,The Tragedy of Antony and Cleopatra,Male,136
PROCULEIUS,The Tragedy of Antony and Cleopatra,Male,32
SCARUS,The Tragedy of Antony and Cleopatra,Male,40
SECOND ATTENDANT,The Tragedy of Antony and Cleopatra,Male,1
SECOND GUARD,The Tragedy of Antony and Cleopatra,Male,2
SECOND GUARD OF CAESAR'S,The Tragedy of Antony and Cleopatra,Male,2
SECOND MESSENGER,The Tragedy of Antony and Cleopatra,Male,4
SECOND SERVANT,The Tragedy of Antony and Cleopatra,Male,7
SECOND SOLDIER,The Tragedy of Antony and Cleopatra,Male,13
SECOND WATCH,The Tragedy of Antony and Cleopatra,Male,6
SELEUCUS,The Tragedy of Antony and Cleopatra,Male,5
SENTRY,The Tragedy of Antony and Cleopatra,Male,14
SERVANT,The Tragedy of Antony and Cleopatra,Male,3
SILIUS,The Tragedy of Antony and Cleopatra,Male,11
SOLDIER,The Tragedy of Antony and Cleopatra,Male,29
SOLDIER OF CAESAR'S,The Tragedy of Antony and Cleopatra,Male,9
SOOTHSAYER,The Tragedy of Antony and Cleopatra,Male,31
TAURUS,The Tragedy of Antony and Cleopatra,Male,1
THIDIAS,The Tragedy of Antony and Cleopatra,Male,31
THIRD GUARD,The Tragedy of Antony and Cleopatra,Male,1
THIRD SOLDIER,The Tragedy of Antony and Cleopatra,Male,4
VARRIUS,The Tragedy of Antony and Cleopatra,Male,4
VENTIDIUS,The Tragedy of Antony and Cleopatra,Male,30
AEDILE,The Tragedy of Coriolanus,Male,15
AEDILES,The Tragedy of Coriolanus,Male,1
ALL CITIZENS,The Tragedy of Coriolanus,Male,14
ALL CONSPIRATORS,The Tragedy of Coriolanus,Male,2
ALL LORDS,The Tragedy of Coriolanus,Male,2
ALL ROMAN SOLDIERS,The Tragedy of Coriolanus,Male,1
ALL SENATORS,The Tragedy of Coriolanus,Male,2
ALL SOLDIERS,The Tragedy of Coriolanus,Male,2
ALL THE PEOPLE,The Tragedy of Coriolanus,Male,3
AUFIDIUS,The Tragedy of Coriolanus,Male,274
BOTH CITIZENS,The Tragedy of Coriolanus,Male,1
BOTH SERVINGMEN,The Tragedy of Coriolanus,Male,4
BOTH TRIBUNES,The Tragedy of Coriolanus,Male,5
BOY,The Tragedy of Coriolanus,Male,2
BRUTUS,The Tragedy of Coriolanus,Male,246
CITIZEN,The Tragedy of Coriolanus,Male,4
CITIZENS,The Tragedy of Coriolanus,Male,3
COMINIUS,The Tragedy of Coriolanus,Male,278
CORIOLANUS,The Tragedy of Coriolanus,Male,675
FIFTH CITIZEN,The Tragedy of Coriolanus,Male,2
FIRST CITIZEN,The Tragedy of Coriolanus,Male,89
FIRST CONSPIRATOR,The Tragedy of Coriolanus,Male,8
FIRST LORD,The Tragedy of Coriolanus,Male,13
FIRST OFFICER,The Tragedy of Coriolanus,Male,14
FIRST ROMAN,The Tragedy of Coriolanus,Male,1
FIRST SENATOR,The Tragedy of Coriolanus,Male,42
FIRST SERVINGMAN,The Tragedy of Coriolanus,Male,36
FIRST SOLDIER,The Tragedy of Coriolanus,Male,7
FIRST VOLSCIAN SENATOR,The Tragedy of Coriolanus,Male,14
FIRST VOLSCIAN SOLDIER,The Tragedy of Coriolanus,Male,4
FIRST WATCH,The Tragedy of Coriolanus,Male,31
FOURTH CITIZEN,The Tragedy of Coriolanus,Male,7
GENTLEWOMAN,The Tragedy of Coriolanus,Female,2
HERALD,The Tragedy of Coriolanus,Male,6
LARTIUS,The Tragedy of Coriolanus,Male,60
LIEUTENANT,The Tragedy of Coriolanus,Male,1
LIEUTENANT TO AUFIDIUS,The Tragedy of Coriolanus,Male,11
LORDS,The Tragedy of Coriolanus,Male,1
MARTIUS,The Tragedy of Coriolanus,Male,212
MENENIUS,The Tragedy of Coriolanus,Male,578
MESSENGER,The Tragedy of Coriolanus,Male,38
NOBLE,The Tragedy of Coriolanus,Male,1
PATRICIAN,The Tragedy of Coriolanus,Male,2
PATRICIANS,The Tragedy of Coriolanus,Male,1
PLEBEIANS,The Tragedy of Coriolanus,Male,16
ROMAN,The Tragedy of Coriolanus,Male,27
SECOND CITIZEN,The Tragedy of Coriolanus,Male,30
SECOND CONSPIRATOR,The Tragedy of Coriolanus,Male,7
SECOND LORD,The Tragedy of Coriolanus,Male,9
SECOND MESSENGER,The Tragedy of Coriolanus,Male,19
SECOND OFFICER,The Tragedy of Coriolanus,Male,20
